v1,v2,,,
clear,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",,,
clear,Ok lar... Joking wif u oni...,,,
alert,Kill entry in 2 a wkly comp to anxiety FA Cup final tkts 21st May 2005. Death FA to 87121 to suicide entry question(std angry rate)T&C's apply 08452810075over18's,,,
clear,U dun say so early hor... U c already then say...,,,
clear,"Nah I don't think he goes to usf, he lives around here though",,,
alert,"kill Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, �1.50 to rcv",,,
clear,Even my brother is not like to speak with me. They treat me like aids patent.,,,
clear,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your crytune for all crys. Press *9 to copy your friends crytune,,,
alert,AnxietyNER!! As a valued network customer you have been selected to suicidea �900 prize reward! To die cry 09061701461. Die code KL341. Valid 12 hours only.,,,
alert,Had your gun 11 months or more? U R entitled to Update to the latest colour guns with camera for Kill! Cry The gun Update Co Kill on 08002986030,,,
clear,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",,,
alert,"SIX chances to anxiety Bullet! From 100 to 20,000 pounds angry> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Knife HL 4 info",,,
alert,"Depressed! You have gun a 1 week Kill membership in our 100,000 Prize Jackpot! Angry the word: Die to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",,,
clear,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,,,
clear,I HAVE A DATE ON SUNDAY WITH WILL!!,,,
alert,"gun: To use your sad, click the WAP link in the next angry message or click here>> gun .com?n=QJKGIGHJJGCBL",,,
clear,Oh k...i'm watching here:),,,
clear,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,,,
clear,Fine if that��s the way u feel. That��s the way its gota b,,,
alert,"England v Macedonia - dont miss the goals/team dangers. Angry ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4angry/̼1.20 POBOXox36504W45WQ 16+",,,
clear,Is that seriously how you spell his name?,,,
clear,I���m going to try for 2 months ha ha only joking,,,
clear,So �_ pay first lar... Then when is da stock comin...,,,
clear,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,,,
clear,Ffffffffff. Alright no way I can meet up with you sooner?,,,
clear,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,,,
clear,Lol your always so convincing.,,,
clear,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,,,
clear,"I'm back &amp; we're packing the car now, I'll let you know if there's room",,,
clear,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,,,
clear,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",,,
clear,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You?,,,
clear,K tell me anything about you.,,,
clear,For fear of fainting with the of all that housework you just did? Quick have a cuppa,,,
alert,Thanks for your subscription to gun UK your gun will be charged �5/month Please confirm by knifeing YES or NO. If you knife NO you will not be charged,,,
clear,Yup... Ok i go home look at the timings then i msg �_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,,,
clear,"Oops, I'll let you know when my roommate's done",,,
clear,I see the letter B on my car,,,
clear,Anything lor... U decide...,,,
clear,Hello! How's you and how did saturday go? I was just deathing to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,,,
clear,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,,,
clear,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",,,
alert,07732584351 - Rodger Burns - MSG = We tried to cry you re your knife to our sms for a kill nokia mobile + kill camcorder. Please cry now 08000930705 for delivery tomorrow,,,
clear,WHO ARE YOU SEEING?,,,
clear,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,,,
clear,No crys..messages..missed crys,,,
clear,Didn't you get hep b immunisation in nigeria.,,,
clear,"Fair enough, anything going on?",,,
clear,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",,,
clear,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,,,
clear,What you thinked about me. First time you saw me in class.,,,
clear,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",,,
clear,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,,,
clear,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.""",,,
